"filename", "language", "PHP", "CSS", "HTML", "JavaScript", "SVG", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\trodi\about.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 13, 101
"c:\xampp\htdocs\trodi\account.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 11, 48
"c:\xampp\htdocs\trodi\assets\brand\bootstrap-logo-white.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\trodi\assets\brand\bootstrap-logo.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\xampp\htdocs\trodi\assets\dist\css\bootstrap.min.css", "CSS", 0, 2, 0, 0, 0, 0, 4, 0, 6
"c:\xampp\htdocs\trodi\assets\dist\css\bootstrap.rtl.min.css", "CSS", 0, 2, 0, 0, 0, 0, 4, 0, 6
"c:\xampp\htdocs\trodi\assets\dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\xampp\htdocs\trodi\assets\js\color-modes.js", "JavaScript", 0, 0, 0, 60, 0, 0, 5, 16, 81
"c:\xampp\htdocs\trodi\chat.php", "PHP", 126, 0, 0, 0, 0, 0, 4, 39, 169
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\Chat.php", "PHP", 207, 0, 0, 0, 0, 0, 4, 0, 211
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\chat_action.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 42
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\container.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\css\style.css", "CSS", 0, 723, 0, 0, 0, 0, 1, 1, 725
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\footer.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\header.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\index.php", "PHP", 128, 0, 0, 0, 0, 0, 0, 0, 128
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\js\chat.js", "JavaScript", 0, 0, 0, 170, 0, 0, 1, 0, 171
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\login.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 10, 60
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\logout.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\php_chat.sql", "SQL", 0, 0, 0, 0, 0, 47, 47, 24, 118
"c:\xampp\htdocs\trodi\chat\chatpage.css", "CSS", 0, 284, 0, 0, 0, 0, 30, 75, 389
"c:\xampp\htdocs\trodi\chat\chatpage.php", "PHP", 129, 0, 0, 0, 0, 0, 7, 24, 160
"c:\xampp\htdocs\trodi\chat\config.php", "PHP", 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\trodi\chat\get_messages.php", "PHP", 39, 0, 0, 0, 0, 0, 12, 18, 69
"c:\xampp\htdocs\trodi\chat\header.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 5, 55
"c:\xampp\htdocs\trodi\chat\header2.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 6, 18
"c:\xampp\htdocs\trodi\chat\home.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\xampp\htdocs\trodi\chat\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\xampp\htdocs\trodi\chat\logout.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\trodi\chat\registro.php", "PHP", 99, 0, 0, 0, 0, 0, 8, 22, 129
"c:\xampp\htdocs\trodi\chat\sendMessage.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\xampp\htdocs\trodi\chat\sesion.php", "PHP", 103, 0, 0, 0, 0, 0, 6, 15, 124
"c:\xampp\htdocs\trodi\control-index.php", "PHP", 386, 0, 0, 0, 0, 0, 0, 31, 417
"c:\xampp\htdocs\trodi\dbConfig.php", "PHP", 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\trodi\get_messages.php", "PHP", 43, 0, 0, 0, 0, 0, 13, 23, 79
"c:\xampp\htdocs\trodi\index.php", "PHP", 265, 0, 0, 0, 0, 0, 14, 55, 334
"c:\xampp\htdocs\trodi\layouts\dbConfig.php", "PHP", 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\trodi\layouts\footer.php", "PHP", 87, 0, 0, 0, 0, 0, 5, 5, 97
"c:\xampp\htdocs\trodi\layouts\head.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\xampp\htdocs\trodi\layouts\header.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 11, 64
"c:\xampp\htdocs\trodi\logout.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\xampp\htdocs\trodi\nueva_publicacion.php", "PHP", 216, 0, 0, 0, 0, 0, 26, 47, 289
"c:\xampp\htdocs\trodi\nuevo_tutorial.php", "PHP", 256, 0, 0, 0, 0, 0, 26, 60, 342
"c:\xampp\htdocs\trodi\pagina\about.php", "PHP", 85, 0, 0, 0, 0, 0, 0, 13, 98
"c:\xampp\htdocs\trodi\pagina\assets\brand\bootstrap-logo-white.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\trodi\pagina\assets\brand\bootstrap-logo.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\xampp\htdocs\trodi\pagina\assets\dist\css\bootstrap.min.css", "CSS", 0, 2, 0, 0, 0, 0, 4, 0, 6
"c:\xampp\htdocs\trodi\pagina\assets\dist\css\bootstrap.rtl.min.css", "CSS", 0, 2, 0, 0, 0, 0, 4, 0, 6
"c:\xampp\htdocs\trodi\pagina\assets\dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\xampp\htdocs\trodi\pagina\assets\js\color-modes.js", "JavaScript", 0, 0, 0, 60, 0, 0, 5, 16, 81
"c:\xampp\htdocs\trodi\pagina\chat.css", "CSS", 0, 143, 0, 0, 0, 0, 4, 26, 173
"c:\xampp\htdocs\trodi\pagina\chat.js", "JavaScript", 0, 0, 0, 29, 0, 0, 2, 5, 36
"c:\xampp\htdocs\trodi\pagina\chat.php", "PHP", 69, 0, 0, 0, 0, 0, 1, 7, 77
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\Chat.php", "PHP", 207, 0, 0, 0, 0, 0, 4, 0, 211
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\chat_action.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 42
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\container.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\css\style.css", "CSS", 0, 723, 0, 0, 0, 0, 1, 1, 725
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\footer.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\header.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\index.php", "PHP", 128, 0, 0, 0, 0, 0, 0, 0, 128
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\js\chat.js", "JavaScript", 0, 0, 0, 170, 0, 0, 1, 0, 171
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\login.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 10, 60
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\logout.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\xampp\htdocs\trodi\pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\php_chat.sql", "SQL", 0, 0, 0, 0, 0, 47, 47, 24, 118
"c:\xampp\htdocs\trodi\pagina\chat\chatpage.css", "CSS", 0, 284, 0, 0, 0, 0, 30, 75, 389
"c:\xampp\htdocs\trodi\pagina\chat\chatpage.php", "PHP", 129, 0, 0, 0, 0, 0, 7, 24, 160
"c:\xampp\htdocs\trodi\pagina\chat\config.php", "PHP", 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\trodi\pagina\chat\get_messages.php", "PHP", 39, 0, 0, 0, 0, 0, 12, 18, 69
"c:\xampp\htdocs\trodi\pagina\chat\header.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 5, 55
"c:\xampp\htdocs\trodi\pagina\chat\header2.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 6, 18
"c:\xampp\htdocs\trodi\pagina\chat\home.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\xampp\htdocs\trodi\pagina\chat\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\xampp\htdocs\trodi\pagina\chat\logout.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\trodi\pagina\chat\registro.php", "PHP", 99, 0, 0, 0, 0, 0, 8, 22, 129
"c:\xampp\htdocs\trodi\pagina\chat\sendMessage.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\xampp\htdocs\trodi\pagina\chat\sesion.php", "PHP", 103, 0, 0, 0, 0, 0, 6, 15, 124
"c:\xampp\htdocs\trodi\pagina\control-index.php", "PHP", 386, 0, 0, 0, 0, 0, 0, 31, 417
"c:\xampp\htdocs\trodi\pagina\data.php", "PHP", 185, 0, 0, 0, 0, 0, 14, 31, 230
"c:\xampp\htdocs\trodi\pagina\dbConfig.php", "PHP", 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\trodi\pagina\guardar_publicacion.php", "PHP", 16, 0, 0, 0, 0, 0, 2, 6, 24
"c:\xampp\htdocs\trodi\pagina\index.php", "PHP", 223, 0, 0, 0, 0, 0, 7, 36, 266
"c:\xampp\htdocs\trodi\pagina\layouts\footer.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 0, 73
"c:\xampp\htdocs\trodi\pagina\layouts\head.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\xampp\htdocs\trodi\pagina\layouts\header.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 27
"c:\xampp\htdocs\trodi\pagina\nueva_publicacion.php", "PHP", 203, 0, 0, 0, 0, 0, 24, 40, 267
"c:\xampp\htdocs\trodi\pagina\photo.php", "PHP", 97, 0, 0, 0, 0, 0, 4, 24, 125
"c:\xampp\htdocs\trodi\pagina\post.php", "PHP", 10, 0, 0, 0, 0, 0, 2, 4, 16
"c:\xampp\htdocs\trodi\pagina\publication.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 21, 77
"c:\xampp\htdocs\trodi\pagina\required\nueva_publicacion.css", "CSS", 0, 39, 0, 0, 0, 0, 0, 10, 49
"c:\xampp\htdocs\trodi\pagina\required\script.js", "JavaScript", 0, 0, 0, 43, 0, 0, 4, 15, 62
"c:\xampp\htdocs\trodi\pagina\required\styles.css", "CSS", 0, 304, 0, 0, 0, 0, 26, 67, 397
"c:\xampp\htdocs\trodi\pagina\required\upload.css", "CSS", 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\xampp\htdocs\trodi\pagina\save_email.php", "PHP", 14, 0, 0, 0, 0, 0, 6, 5, 25
"c:\xampp\htdocs\trodi\pagina\tutorial.php", "PHP", 167, 0, 0, 0, 0, 0, 0, 28, 195
"c:\xampp\htdocs\trodi\pagina\upload_img.php", "PHP", 76, 0, 0, 0, 0, 0, 15, 26, 117
"c:\xampp\htdocs\trodi\pagina\video.php", "PHP", 125, 0, 0, 0, 0, 0, 7, 35, 167
"c:\xampp\htdocs\trodi\pagina\video\CUSCO-Fotograf-a-de-blanco-y-negro-a-color.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 19, 87
"c:\xampp\htdocs\trodi\pagina\video\De-blanco-y-negro-a-Color-Fotograf-as-de-Martin-Chambi-Cusco-.php", "PHP", 62, 0, 0, 0, 0, 0, 7, 17, 86
"c:\xampp\htdocs\trodi\pagina\video\Hackeando-Android-Control-total-a-trav-s-de-Wi-Fi-con-ADB.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 17, 85
"c:\xampp\htdocs\trodi\pagina\video\Holas-prueba.php", "PHP", 60, 0, 0, 0, 0, 0, 7, 13, 80
"c:\xampp\htdocs\trodi\pagina\video\Machu-Picchu-Explicaci-n-historia-construcci-n-y-datos-curiosos.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 17, 85
"c:\xampp\htdocs\trodi\pagina\video\Martin-Chambi-Cusco-fotograf-a-de-blanco-y-negro-a-color.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 17, 85
"c:\xampp\htdocs\trodi\pagina\video\Piped-Redirects-Alternativa-a-YouTube.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 17, 85
"c:\xampp\htdocs\trodi\pagina\video\SH-COVER-Solo-se-trata-de-prosperar.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 17, 85
"c:\xampp\htdocs\trodi\pagina\video\SHÃ‰_(COVER)_Solo_se_trata_de_prosperar.php", "PHP", 60, 0, 0, 0, 0, 0, 7, 13, 80
"c:\xampp\htdocs\trodi\pagina\video\plantilla.php", "PHP", 86, 0, 0, 0, 0, 0, 7, 17, 110
"c:\xampp\htdocs\trodi\pagina\video\styles.css", "CSS", 0, 117, 0, 0, 0, 0, 4, 17, 138
"c:\xampp\htdocs\trodi\photo.php", "PHP", 109, 0, 0, 0, 0, 0, 5, 26, 140
"c:\xampp\htdocs\trodi\publication.php", "PHP", 87, 0, 0, 0, 0, 0, 1, 29, 117
"c:\xampp\htdocs\trodi\registro.php", "PHP", 103, 0, 0, 0, 0, 0, 8, 26, 137
"c:\xampp\htdocs\trodi\required\account.css", "CSS", 0, 123, 0, 0, 0, 0, 9, 32, 164
"c:\xampp\htdocs\trodi\required\account.js", "JavaScript", 0, 0, 0, 23, 0, 0, 8, 18, 49
"c:\xampp\htdocs\trodi\required\chatpage.css", "CSS", 0, 224, 0, 0, 0, 0, 29, 77, 330
"c:\xampp\htdocs\trodi\required\nueva_publicacion.css", "CSS", 0, 81, 0, 0, 0, 0, 1, 16, 98
"c:\xampp\htdocs\trodi\required\script.js", "JavaScript", 0, 0, 0, 35, 0, 0, 5, 13, 53
"c:\xampp\htdocs\trodi\required\search.css", "CSS", 0, 44, 0, 0, 0, 0, 8, 11, 63
"c:\xampp\htdocs\trodi\required\styles.css", "CSS", 0, 312, 0, 0, 0, 0, 28, 68, 408
"c:\xampp\htdocs\trodi\required\upload.css", "CSS", 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\xampp\htdocs\trodi\save_email.php", "PHP", 14, 0, 0, 0, 0, 0, 6, 5, 25
"c:\xampp\htdocs\trodi\search.php", "PHP", 131, 0, 0, 0, 0, 0, 14, 32, 177
"c:\xampp\htdocs\trodi\sendMessage.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\xampp\htdocs\trodi\sesion.php", "PHP", 97, 0, 0, 0, 0, 0, 7, 23, 127
"c:\xampp\htdocs\trodi\tutorial.php", "PHP", 121, 0, 0, 0, 0, 0, 7, 41, 169
"c:\xampp\htdocs\trodi\tutorial2.php", "PHP", 256, 0, 0, 0, 0, 0, 26, 60, 342
"c:\xampp\htdocs\trodi\tutoriales\Descubre-la-Magia-de-Cusco-en-un-D-a.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 20, 88
"c:\xampp\htdocs\trodi\tutoriales\Reconocer-distintos-tipos-de-arte.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 20, 88
"c:\xampp\htdocs\trodi\tutoriales\styles.css", "CSS", 0, 116, 0, 0, 0, 0, 4, 17, 137
"c:\xampp\htdocs\trodi\tutoriales\tutorial-numero-1.php", "PHP", 145, 0, 0, 0, 0, 0, 0, 14, 159
"c:\xampp\htdocs\trodi\tutoriales\tutorial-numero-2.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 19, 87
"c:\xampp\htdocs\trodi\upload_img.php", "PHP", 153, 0, 0, 0, 0, 0, 15, 32, 200
"c:\xampp\htdocs\trodi\video.php", "PHP", 117, 0, 0, 0, 0, 0, 11, 39, 167
